user,z0,z1,z2,predicted_class
1100,0.98989898989899,0.010101010101010102,0.0,0
1101,0.9702970297029703,0.009900990099009901,0.019801980198019802,0
1102,1.0,0.0,0.0,0
1103,1.0,0.0,0.0,0
1104,0.8348623853211009,0.06422018348623854,0.10091743119266054,0
1105,1.0,0.0,0.0,0
1106,1.0,0.0,0.0,0
1107,1.0,0.0,0.0,0
1108,0.6024096385542168,0.39759036144578314,0.0,0
1109,1.0,0.0,0.0,0
1110,1.0,0.0,0.0,0
1111,1.0,0.0,0.0,0
1112,1.0,0.0,0.0,0
1113,0.9900990099009901,0.009900990099009901,0.0,0
1114,1.0,0.0,0.0,0
1115,0.9900990099009901,0.009900990099009901,0.0,0
1116,0.5135135135135135,0.4594594594594595,0.02702702702702703,0
1117,1.0,0.0,0.0,0
1118,1.0,0.0,0.0,0
1119,1.0,0.0,0.0,0
1120,1.0,0.0,0.0,0
1121,0.9900990099009901,0.0,0.009900990099009901,0
1122,1.0,0.0,0.0,0
1123,1.0,0.0,0.0,0
1124,0.8712871287128713,0.039603960396039604,0.0891089108910891,0
1125,1.0,0.0,0.0,0
1126,1.0,0.0,0.0,0
1127,1.0,0.0,0.0,0
1128,1.0,0.0,0.0,0
1129,0.9607843137254901,0.029411764705882353,0.00980392156862745,0
1130,0.009259259259259259,0.25,0.7407407407407407,2
1131,1.0,0.0,0.0,0
1132,0.95,0.05,0.0,0
1133,0.8514851485148515,0.1485148514851485,0.0,0
1134,1.0,0.0,0.0,0
1135,0.935483870967742,0.06451612903225806,0.0,0
1136,0.9803921568627451,0.0196078431372549,0.0,0
1137,1.0,0.0,0.0,0
1138,0.0736842105263158,0.9157894736842106,0.010526315789473686,1
1139,0.8876404494382023,0.011235955056179775,0.10112359550561797,0
1140,1.0,0.0,0.0,0
1141,1.0,0.0,0.0,0
1142,0.9578947368421052,0.042105263157894736,0.0,0
1143,1.0,0.0,0.0,0
1144,0.8623853211009174,0.11009174311926605,0.027522935779816512,0
1145,0.99,0.01,0.0,0
1146,0.9897959183673469,0.0,0.010204081632653062,0
1147,0.7244897959183674,0.2755102040816327,0.0,0
1148,0.98989898989899,0.0,0.010101010101010102,0
1149,0.90625,0.0,0.09375,0
1150,0.9803921568627451,0.0,0.0196078431372549,0
1151,1.0,0.0,0.0,0
1152,1.0,0.0,0.0,0
1153,0.8571428571428571,0.047619047619047616,0.09523809523809523,0
1154,0.9797979797979798,0.020202020202020204,0.0,0
1155,1.0,0.0,0.0,0
1156,1.0,0.0,0.0,0
1157,0.99,0.0,0.01,0
1158,1.0,0.0,0.0,0
1159,0.8387096774193549,0.16129032258064516,0.0,0
1160,0.84070796460177,0.12389380530973454,0.03539823008849558,0
1161,1.0,0.0,0.0,0
1162,1.0,0.0,0.0,0
1163,0.020618556701030927,0.041237113402061855,0.9381443298969073,2
1164,1.0,0.0,0.0,0
1165,0.9897959183673469,0.010204081632653062,0.0,0
1166,0.6276595744680851,0.3723404255319149,0.0,0
1167,1.0,0.0,0.0,0
1168,1.0,0.0,0.0,0
1169,0.9702970297029703,0.0297029702970297,0.0,0
1170,0.98,0.0,0.02,0
1171,0.98989898989899,0.0,0.010101010101010102,0
1172,0.970873786407767,0.009708737864077669,0.019417475728155338,0
1173,0.989010989010989,0.010989010989010988,0.0,0
1174,0.8260869565217391,0.021739130434782608,0.15217391304347827,0
1175,0.98989898989899,0.0,0.010101010101010102,0
1176,1.0,0.0,0.0,0
1177,0.845360824742268,0.0,0.15463917525773196,0
1178,0.9896907216494846,0.010309278350515464,0.0,0
1179,1.0,0.0,0.0,0
1180,0.0,0.09,0.91,2
1181,1.0,0.0,0.0,0
1182,1.0,0.0,0.0,0
1183,0.8773584905660378,0.056603773584905655,0.0660377358490566,0
1184,1.0,0.0,0.0,0
1185,1.0,0.0,0.0,0
1186,1.0,0.0,0.0,0
1187,0.98,0.02,0.0,0
1188,1.0,0.0,0.0,0
1189,0.9693877551020408,0.0,0.030612244897959183,0
1190,0.7,0.3,0.0,0
1191,0.9900990099009901,0.0,0.009900990099009901,0
1192,0.9032258064516129,0.0967741935483871,0.0,0
1193,0.7767857142857142,0.2232142857142857,0.0,0
1194,0.8558558558558559,0.14414414414414417,0.0,0
1195,0.9595959595959596,0.04040404040404041,0.0,0
1196,1.0,0.0,0.0,0
1197,1.0,0.0,0.0,0
1198,0.34615384615384615,0.019230769230769232,0.6346153846153846,2
1199,0.9662921348314606,0.033707865168539325,0.0,0
1200,1.0,0.0,0.0,0
1201,0.6601941747572816,0.3398058252427184,0.0,0
1202,1.0,0.0,0.0,0
1203,0.9285714285714285,0.04081632653061224,0.03061224489795918,0
1204,0.9900990099009901,0.009900990099009901,0.0,0
1205,0.99,0.01,0.0,0
1206,0.9900990099009901,0.0,0.009900990099009901,0
1207,1.0,0.0,0.0,0
1208,0.12745098039215685,0.8725490196078431,0.0,1
1209,1.0,0.0,0.0,0
1210,0.9897959183673469,0.010204081632653062,0.0,0
1211,1.0,0.0,0.0,0
1212,0.9897959183673469,0.010204081632653062,0.0,0
1213,1.0,0.0,0.0,0
1214,1.0,0.0,0.0,0
1215,1.0,0.0,0.0,0
1216,1.0,0.0,0.0,0
1217,1.0,0.0,0.0,0
1218,0.99,0.01,0.0,0
1219,1.0,0.0,0.0,0
1220,0.8952380952380952,0.047619047619047616,0.05714285714285714,0
1221,0.3018867924528302,0.6981132075471698,0.0,1
1222,1.0,0.0,0.0,0
1223,0.9803921568627451,0.00980392156862745,0.00980392156862745,0
1224,1.0,0.0,0.0,0
1225,0.6551724137931034,0.33333333333333337,0.01149425287356322,0
1226,1.0,0.0,0.0,0
1227,1.0,0.0,0.0,0
1228,0.9797979797979798,0.020202020202020204,0.0,0
1229,0.8691588785046729,0.0,0.13084112149532712,0
1230,0.99,0.01,0.0,0
1231,0.99,0.01,0.0,0
1232,1.0,0.0,0.0,0
1233,1.0,0.0,0.0,0
1234,1.0,0.0,0.0,0
1235,0.9090909090909092,0.09090909090909091,0.0,0
1236,0.9074074074074073,0.07407407407407407,0.018518518518518517,0
1237,0.9897959183673469,0.010204081632653062,0.0,0
1238,1.0,0.0,0.0,0
1239,0.9411764705882353,0.058823529411764705,0.0,0
1240,0.7327586206896552,0.26724137931034486,0.0,0
1241,0.24175824175824176,0.054945054945054944,0.7032967032967032,2
1242,1.0,0.0,0.0,0
1243,1.0,0.0,0.0,0
1244,0.9519230769230769,0.04807692307692308,0.0,0
1245,1.0,0.0,0.0,0
1246,1.0,0.0,0.0,0
1247,1.0,0.0,0.0,0
1248,0.9223300970873786,0.009708737864077669,0.0679611650485437,0
1249,0.8482142857142856,0.08035714285714285,0.07142857142857142,0
1250,0.6260162601626017,0.0,0.3739837398373984,0
1251,0.04938271604938271,0.12345679012345678,0.8271604938271605,2
1252,0.979381443298969,0.020618556701030927,0.0,0
1253,0.99,0.01,0.0,0
1254,1.0,0.0,0.0,0
1255,0.9900990099009901,0.009900990099009901,0.0,0
1256,0.9777777777777777,0.022222222222222223,0.0,0
1257,1.0,0.0,0.0,0
1258,0.9795918367346939,0.020408163265306124,0.0,0
1259,0.9320388349514562,0.0679611650485437,0.0,0
1260,0.970873786407767,0.029126213592233007,0.0,0
1261,1.0,0.0,0.0,0
1262,1.0,0.0,0.0,0
1263,0.9795918367346939,0.020408163265306124,0.0,0
1264,0.99,0.01,0.0,0
1265,1.0,0.0,0.0,0
1266,0.968421052631579,0.03157894736842105,0.0,0
1267,1.0,0.0,0.0,0
1268,0.0,0.009900990099009901,0.9900990099009901,2
1269,1.0,0.0,0.0,0
1270,1.0,0.0,0.0,0
1271,0.2079207920792079,0.7920792079207921,0.0,1
1272,0.9550561797752809,0.0449438202247191,0.0,0
1273,0.9578947368421052,0.042105263157894736,0.0,0
1274,1.0,0.0,0.0,0
1275,1.0,0.0,0.0,0
1276,0.9108910891089109,0.04950495049504951,0.039603960396039604,0
1277,1.0,0.0,0.0,0
1278,1.0,0.0,0.0,0
1279,1.0,0.0,0.0,0
1280,0.8141592920353982,0.11504424778761062,0.07079646017699115,0
1281,0.9900990099009901,0.009900990099009901,0.0,0
1282,0.8555555555555555,0.14444444444444446,0.0,0
1283,1.0,0.0,0.0,0
1284,0.99,0.01,0.0,0
1285,1.0,0.0,0.0,0
1286,0.06493506493506494,0.07792207792207792,0.8571428571428572,2
1287,1.0,0.0,0.0,0
1288,0.8494623655913979,0.0,0.15053763440860216,0
1289,1.0,0.0,0.0,0
1290,0.9900990099009901,0.009900990099009901,0.0,0
1291,0.979381443298969,0.020618556701030927,0.0,0
1292,1.0,0.0,0.0,0
1293,0.98989898989899,0.010101010101010102,0.0,0
1294,0.9801980198019802,0.019801980198019802,0.0,0
1295,1.0,0.0,0.0,0
1296,1.0,0.0,0.0,0
1297,0.9803921568627451,0.0196078431372549,0.0,0
1298,0.9900990099009901,0.0,0.009900990099009901,0
1299,1.0,0.0,0.0,0
1300,0.0,0.297029702970297,0.7029702970297029,2
1301,1.0,0.0,0.0,0
1302,1.0,0.0,0.0,0
